"Amplitude","X"
0.000000,0
15.859788,1
31.475149,2
46.605423,3
61.017429,4
74.489052,5
86.812668,6
97.798347,7
107.276787,8
115.101906,9
121.153107,10
125.337128,11
127.589493,12
127.875473,13
126.190674,14
122.561058,15
117.042557,16
109.720230,17
100.706917,18
90.141541,19
78.186920,20
65.027306,21
50.865501,22
35.919777,23
20.420464,24
4.606435,25
-11.278585,26
-26.989784,27
-42.285023,28
-56.928577,29
-70.694763,30
-83.371414,31
-94.763168,32
-104.694458,33
-113.012222,34
-119.588272,35
-124.321251,36
-127.138229,37
-127.995781,38
-126.880699,39
-123.810158,40
-118.831490,41
-112.021416,42
-103.484901,43
-93.353523,44
-81.783386,45
-68.952827,46
-55.059582,47
-40.317772,48
-24.954592,49
-9.206821,50
6.682844,51
22.469515,52
37.909889,53
52.766010,54
66.808914,55
79.822174,56
91.605232,57
101.976494,58
110.776123,59
117.868500,60
123.144310,61
126.522255,62
127.950272,63
127.406349,64
124.898872,65
120.466484,66
114.177505,67
106.128838,68
96.444550,69
85.273880,70
72.788986,71
59.182293,72
44.663494,73
29.456352,74
13.795238,75
-2.078485,76
-17.920176,77
-33.485687,78
-48.535122,79
-62.836548,80
-76.169548,81
-88.328651,82
-99.126450,83
-108.396538,84
-115.996040,85
-121.807846,86
-125.742371,87
-127.738998,88
-127.766960,89
-125.825836,90
-121.945534,91
-116.185860,92
-108.635574,93
-99.411049,94
-88.654434,95
-76.531517,96
-63.229122,97
-48.952271,98
-33.920986,99
-18.366926,100
-2.529801,101
13.346312,102
29.016737,103
44.239967,104
58.781391,105
72.416901,106
84.936348,107
96.146790,108
105.875458,109
113.972420,110
120.312889,111
124.799141,112
127.362038,113
127.962082,114
126.590034,115
123.267029,116
118.044281,117
111.002281,118
102.249565,119
91.921021,120
80.175827,121
67.194992,122
53.178577,123
38.342598,124
22.915699,125
7.135631,126
-8.754408,127
-24.509527,128
-39.886917,129
-54.649586,130
-68.570015,131
-81.433678,132
-93.042313,133
-103.217018,134
-111.800987,135
-118.661919,136
-123.694092,137
-126.819939,138
-127.991287,139
-127.190086,140
-124.428680,141
-119.749641,142
-113.225060,143
-104.955505,144
-95.068420,145
-83.716179,146
-71.073738,147
-57.335934,148
-42.714497,149
-27.434759,150
-11.732209,151
4.151153,152
19.970539,153
35.482147,154
50.446918,155
64.634224,156
77.825417,157
89.817184,158
100.424736,159
109.484581,160
116.857094,161
122.428658,162
126.113396,163
127.854530,164
127.625221,165
125.429001,166
121.299728,167
115.301025,168
107.525352,169
98.092545,170
87.147980,171
74.860321,172
61.418945,173
47.031006,174
31.918247,175
16.313574,176
0.457485,177
-15.405656,178
-31.031370,179
-46.178844,180
-60.614624,181
-74.116241,182
-86.475609,183
-97.502243,184
-107.026222,185
-114.900749,186
-121.004478,187
-125.243332,188
-127.551994,189
-127.894875,190
-126.266685,191
-122.692535,192
-117.227493,193
-109.955788,194
-100.989487,195
-90.466782,196
-78.549843,197
-65.422318,198
-51.286537,199
-36.360348,200
-20.873787,201
-5.065529,202
10.820797,203
26.540358,204
41.850891,205
56.516434,206
70.310966,207
83.021896,208
94.453331,209
104.429085,210
112.795425,211
119.423401,212
124.210884,213
127.084068,214
127.998695,215
126.940651,216
123.926254,217
119.001953,218
112.243645,219
103.755486,220
93.668282,221
82.137512,222
69.340866,223
55.475567,224
40.755302,225
25.406935,226
9.667006,227
-6.221908,228
-22.014933,229
-37.468670,230
-52.344959,231
-66.414528,232
-79.460541,233
-91.281944,234
-101.696541,235
-110.543839,236
-117.687477,237
-123.017372,238
-126.451363,239
-127.936546,240
-127.450020,241
-124.999283,242
-120.622116,243
-114.385963,244
-106.386948,245
-96.748337,246
-85.618675,247
-73.169502,248
-59.592667,249
-45.097416,250
-29.907139,251
-14.255947,252
1.614951,253
17.460960,254
33.037868,255
48.105614,256
62.431969,257
75.796150,258
87.992195,259
98.832138,260
108.148926,261
115.798958,262
121.664352,263
125.654701,264
127.708511,265
127.794128,266
125.910240,267
122.085876,268
116.379967,269
108.880463,270
99.702934,271
88.988831,272
76.903267,273
63.632496,274
49.381050,275
34.368565,276
18.826405,277
2.994099,278
-12.884350,279
-28.564230,280
-43.803890,281
-58.368465,282
-72.033485,283
-84.588356,284
-95.839584,285
-105.613777,286
-113.760292,287
-120.153580,288
-124.695107,289
-127.314888,290
-127.972542,291
-126.657936,292
-123.391335,293
-118.223068,294
-111.232803,295
-102.528259,296
-92.243599,297
-80.537315,298
-67.589821,299
-53.600658,300
-38.785427,301
-23.372450,302
-7.599268,303
8.291032,304
24.053555,305
39.445374,306
54.229275,307
68.177414,308
81.074837,309
92.722771,310
102.941689,311
111.574120,312
118.487015,313
123.573837,314
126.756187,315
127.985023,316
127.241409,317
124.536797,318
119.912880,319
113.440918,320
105.220650,321
95.378761,322
84.066933,323
71.459503,324
57.750767,325
43.152000,326
27.888191,327
12.194583,328
-3.686964,329
-19.511688,330
-35.035709,331
-50.019772,332
-64.232948,333
-77.456192,334
-89.485718,335
-100.136124,336
-109.243279,337
-116.666809,338
-122.292328,339
-126.033127,340
-127.831551,341
-127.659889,342
-125.520790,343
-121.447212,344
-115.501938,345
-107.776596,346
-98.390251,347
-87.487312,348
-75.235992,349
-61.825127,350
-47.461395,351
-32.366177,352
-16.772125,353
-0.919578,354
14.947143,355
30.583494,356
45.748486,357
60.208393,358
73.740356,359
86.135811,360
97.203720,361
106.773514,362
114.697678,363
120.854103,364
125.147896,365
127.512878,366
127.912605,367
126.340912,368
122.822029,369
117.410179,370
110.188782,371
101.269127,372
90.788689,373
78.908997,374
65.813141,375
51.702953,376
36.795914,377
21.321766,378
5.519001,379
-10.368823,380
-26.096840,381
-41.422646,382
-56.110039,383
-69.932648,384
-82.677444,385
-94.147995,386
-104.167511,387
-112.581581,388
-119.260513,389
-124.101372,390
-127.029556,391
-127.999931,392
-126.997543,393
-124.037842,394
-119.166443,395
-112.458420,396
-104.017159,397
-93.972771,398
-82.480042,399
-69.716118,400
-55.877716,401
-41.178108,402
-25.843857,403
-10.111295,404
5.777106,405
21.576468,406
37.043289,407
51.939190,408
66.034592,409
79.112259,410
90.970619,411
101.426926,412
110.320023,413
117.512833,414
122.894516,415
126.382118,416
127.921890,417
127.490097,418
125.093407,419
120.768738,420
114.582764,421
106.630806,422
97.035431,423
85.944527,424
73.529030,425
59.980282,426
45.507103,427
30.332560,428
14.690524,429
-1.177925,430
-17.028219,431
-32.616070,432
-47.701237,433
-62.051220,434
-75.444855,435
-87.675720,436
-98.555305,437
-107.915932,438
-115.613335,439
-121.528877,440
-125.571388,441
-127.678566,442
-127.817940,443
-125.987343,444
-122.215004,445
-116.559067,446
-109.106689,447
-99.972733,448
-89.297974,449
-77.246941,450
-64.005348,451
-49.777302,452
-34.782074,453
-19.250774,454
-3.422778,455
12.457971,456
28.146713,457
43.401653,458
57.987679,459
71.679985,460
84.267540,461
95.556343,462
105.372414,463
113.564461,464
120.006226,465
124.598427,466
127.270287,467
127.980629,468
126.718506,469
123.503372,470
118.384773,471
111.441597,472
102.780869,473
92.536049,474
80.865044,475
67.947731,476
53.983189,477
39.186646,478
23.786152,479
8.019058,480
-7.871626,481
-23.640991,482
-39.045994,483
-53.849213,484
-67.822495,485
-80.750481,486
-92.433929,487
-102.692757,488
-111.368858,489
-118.328522,490
-123.464478,491
-126.697578,492
-127.977974,493
-127.285957,494
-124.632172,495
-120.057526,496
-113.632530,497
-105.456207,498
-95.654564,499
-84.378670,500
-71.802315,501
-58.119328,502
-43.540592,503
-28.290796,504
-12.604979,505
3.275111,506
19.104723,507
34.639889,508
49.641178,509
63.877384,510
77.129097,511
89.192085,512
99.880417,513
109.029373,514
116.497940,515
122.171021,516
125.961166,517
127.809975,518
127.688950,519
125.599945,520
121.575172,521
115.676651,522
107.995300,523
98.649498,524
87.783287,525
75.564140,526
62.180378,527
47.838284,528
32.758892,529
17.174612,530
1.325635,531
-14.543773,532
-30.189030,533
-45.369007,534
-59.849747,535
-73.408066,536
-85.835007,537
-96.939034,538
-106.549019,539
-114.516846,540
-120.719711,541
-125.062019,542
-127.476845,543
-127.926964,544
-126.405449,545
-122.935738,546
-117.571312,547
-110.394859,548
-101.516968,549
-91.074478,550
-79.228325,551
-66.161095,552
-52.074165,553
-37.184662,554
-21.722057,555
-5.924669,556
9.964032,557
25.699165,558
41.038216,559
55.744778,560
69.592186,561
82.367027,562
93.872406,563
103.931007,564
112.387794,565
119.112434,566
124.001289,567
126.979012,568
127.999702,569
127.047630,570
124.137474,571
119.314079,572
112.651787,573
104.253288,574
94.248009,575
82.790154,576
70.056328,577
56.242771,578
41.562389,579
26.241438,580
10.516047,581
-5.371418,582
-21.176098,583
-36.654408,584
-51.567791,585
-65.686401,586
-78.792633,587
-90.684502,588
-101.178711,589
-110.113541,590
-117.351265,591
-122.780357,592
-126.317123,593
-127.907059,594
-127.525665,595
-125.178818,596
-120.902687,597
-114.763176,598
-106.854904,599
-97.299767,600
-86.245018,601
-73.861046,602
-60.338707,603
-45.886417,604
-30.726913,605
-15.093840,606
0.771863,607
16.625669,608
32.223240,609
47.324177,610
61.695740,611
75.116440,612
87.379425,613
98.295700,614
107.697014,615
115.438484,616
121.400787,617
125.492035,618
127.649170,619
127.838943,620
126.058441,621
122.335091,622
116.726288,623
109.318474,624
100.225815,625
89.588455,626
77.570335,627
64.356689,628
50.151161,629
35.172691,630
19.652130,631
3.828688,632
-12.053762,633
-27.750439,634
-43.019417,635
-57.625374,636
-71.343193,637
-83.961456,638
-95.285683,639
-105.141350,640
-113.376549,641
-119.864365,642
-124.504807,643
-127.226349,644
-127.987053,645
-126.775192,646
-123.609436,647
-118.538589,648
-111.640800,649
-103.022369,650
-92.816139,651
-81.179413,652
-68.291519,653
-54.351109,654
-39.573025,655
-24.185032,656
-8.424294,657
7.466282,658
23.241785,659
38.659081,660
53.480553,661
67.477776,662
80.435005,663
92.152557,664
102.449837,665
111.168137,666
118.173080,667
123.356720,668
126.639160,669
127.969803,670
127.328148,671
124.724083,672
120.197739,673
113.818886,674
105.685822,675
95.923912,676
84.683601,677
72.138123,678
58.480835,679
43.922230,680
28.686686,681
13.009014,682
-2.869155,683
-18.703104,684
-34.248795,685
-49.266636,686
-63.525169,687
-76.804642,688
-88.900375,689
-99.625961,690
-108.816093,691
-116.329117,692
-122.049255,693
-125.888344,694
-127.787216,695
-127.716637,696
-125.677704,697
-121.701797,698
-115.850197,699
-108.213081,700
-98.908165,701
-88.078850,702
-75.892052,703
-62.535580,704
-48.215298,705
-33.151913,706
-17.577579,707
-1.732339,708
14.139602,709
29.793619,710
44.988453,711
59.489910,712
73.074501,713
85.532845,714
96.672943,715
106.323090,716
114.334564,717
120.583885,718
124.974747,719
127.439461,720
127.940056,721
126.468811,722
123.048393,723
117.731529,724
110.600159,725
101.764191,726
91.359818,727
79.547379,728
66.508942,729
52.445454,730
37.573666,731
22.122780,732
6.330935,733
-9.558484,734
-25.300585,735
-40.652748,736
-55.378361,737
-69.250473,738
-82.055275,739
-93.595428,740
-103.693069,741
-112.192566,742
-118.962921,743
-123.899796,744
-126.927101,745
-127.998177,746
-127.096512,747
-124.236008,748
-119.460754,749
-112.844337,750
-104.488747,751
-94.522743,752
-83.099937,753
-70.396378,754
-56.607849,755
-41.946873,756
-26.639399,757
-10.921351,758
4.965017,759
20.774864,760
36.264523,761
51.195267,762
65.336975,763
78.471695,764
90.396996,765
100.929070,766
109.905609,767
117.188255,768
122.664772,769
126.250748,770
127.890923,771
127.560005,772
125.263115,773
121.035629,774
114.942726,775
107.078293,776
97.563545,777
86.545128,778
74.192856,779
60.697109,780
46.265884,781
31.121597,782
15.497658,783
-0.365135,784
-16.222300,785
-31.829443,786
-46.946026,787
-61.339062,788
-74.786728,789
-87.081764,790
-98.034676,791
-107.476654,792
-115.262184,793
-121.271263,794
-125.411278,795
-127.618431,796
-127.858696,797
-126.128372,798
-122.454132,799
-116.892601,800
-109.529495,801
-100.478294,802
-89.878502,803
-77.893478,804
-64.707947,805
-50.525120,806
-35.563587,807
-20.053942,808
-4.235219,809
11.648778,810
27.353241,811
42.636127,812
57.261898,813
71.005135,814
83.654030,815
95.013626,816
104.908844,817
113.187187,818
119.721069,819
124.409782,820
127.181053,821
127.992188,822
126.830681,823
123.714424,824
118.691460,825
111.839188,826
103.263229,827
93.095757,828
81.493469,829
68.635185,830
54.719078,831
39.959629,832
24.584314,833
8.830101,834
-7.060205,835
-22.841698,836
-38.271149,837
-53.110756,838
-67.131805,839
-80.118210,840
-91.869812,841
-102.205490,842
-110.965965,843
-118.016197,844
-123.247543,845
-126.579369,846
-127.960320,847
-127.369125,848
-124.814880,849
-120.336967,850
-114.004387,851
-105.914749,852
-96.192726,853
-84.988167,854
-72.473740,855
-58.842339,856
-44.304043,857
-29.082926,858
-13.413574,859
2.462510,860
18.300642,861
33.856720,862
48.890991,863
63.171741,864
76.478874,865
88.607300,866
99.370094,867
108.601364,868
116.158852,869
121.926071,870
125.814133,871
127.763123,872
127.743004,873
125.754074,874
121.826996,875
116.022293,876
108.429428,877
99.165421,878
88.373055,879
76.218666,880
62.889576,881
48.591217,882
33.543961,883
17.979717,884
2.138366,885
-13.735943,886
-29.398550,887
-44.608059,888
-59.130062,889
-72.740738,890
-85.230316,891
-96.406303,892
-106.096458,893
-114.151428,894
-120.447067,895
-124.886353,896
-127.400864,897
-127.951836,898
-126.530792,899
-123.159622,900
-117.890297,901
-110.804008,902
-102.009995,903
-91.643768,904
-79.865112,905
-66.855560,906
-52.815613,907
-37.961658,908
-22.522631,909
-6.736479,910
9.153497,911
24.902397,912
40.267494,913
55.011982,914
68.908615,915
81.743210,916
93.317955,917
103.454468,918
111.996521,919
118.812447,920
123.797218,921
126.873993,922
127.995361,923
127.144035,924
124.333138,925
119.605988,926
113.035439,927
104.722763,928
94.796082,929
83.408379,930
70.735168,931
56.971767,932
42.330311,933
27.036446,934
11.325889,935
-4.559225,936
-20.374071,937
-35.874905,938
-50.822830,939
-64.987457,940
-78.150490,941
-90.109047,942
-100.678818,943
-109.696907,944
-117.024323,945
-122.548134,946
-126.183205,947
-127.873512,948
-127.593002,949
-125.346008,950
-121.167145,951
-115.120827,952
-107.300240,953
-97.825912,954
-86.843880,955
-74.523384,956
-61.054317,957
-46.644268,958
-31.515327,959
-15.900665,960
-0.040938,961
15.819420,962
31.435966,963
46.568012,964
60.982346,965
74.456802,966
86.783714,967
97.773094,968
107.255577,969
115.085007,970
121.140724,971
125.329391,972
127.586456,973
127.877129,974
126.196930,975
122.571754,976
117.057472,977
109.739082,978
100.729362,979
90.167175,980
78.215317,981
65.057983,982
50.897964,983
35.953495,984
20.454899,985
4.641048,986
-11.244331,987
-26.956409,988
-42.253033,989
-56.898438,990
-70.666916,991
-83.346252,992
-94.741043,993
-104.675667,994
-112.997002,995
-119.576797,996
-124.313652,997
-127.134552,998
-127.996033,999
-126.884804,1000
-123.818001,1001
-118.842888,1002
-112.036133,1003
-103.502663,1004
-93.373978,1005
-81.806198,1006
-68.977600,1007
-55.085899,1008
-40.345207,1009
-24.982704,1010
-9.235162,1011
6.654715,1012
22.442028,1013
37.883457,1014
52.741020,1015
66.785728,1016
79.801117,1017
91.586594,1018
101.960518,1019
110.763000,1020
117.858376,1021
123.137299,1022
126.518394,1023
127.949570,1024
127.408745,1025
124.904274,1026
120.474754,1027
114.188446,1028
106.142235,1029
96.460144,1030
85.291382,1031
72.808090,1032
59.202663,1033
44.684795,1034
29.478231,1035
13.817344,1036
-2.056500,1037
-17.898649,1038
-33.464939,1039
-48.515461,1040
-62.818253,1041
-76.152870,1042
-88.313805,1043
-99.113632,1044
-108.385895,1045
-115.987686,1046
-121.801849,1047
-125.738777,1048
-127.737793,1049
-127.768082,1050
-125.829178,1051
-121.950966,1052
-116.193222,1053
-108.644676,1054
-99.421677,1055
-88.666374,1056
-76.544518,1057
-63.242939,1058
-48.966648,1059
-33.935673,1060
-18.381674,1061
-2.544371,1062
13.332146,1063
29.003185,1064
44.227219,1065
58.769615,1066
72.406242,1067
84.926926,1068
96.138695,1069
105.868752,1070
113.967140,1071
120.309036,1072
124.796707,1073
127.360977,1074
127.962334,1075
126.591507,1076
123.269623,1077
118.047874,1078
111.006752,1079
102.254761,1080
91.926804,1081
80.182045,1082
67.201508,1083
53.185238,1084
38.349270,1085
22.922255,1086
7.141955,1087
-8.748418,1088
-24.503958,1089
-39.881836,1090
-54.645050,1091
-68.566063,1092
-81.430313,1093
-93.039543,1094
-103.214828,1095
-111.799347,1096
-118.660782,1097
-123.693390,1098
-126.819611,1099
-127.991257,1100
-127.190277,1101
-124.429008,1102
-119.750015,1103
-113.225403,1104
-104.955734,1105
-95.068466,1106
-83.715981,1107
-71.073250,1108
-57.335114,1109
-42.713322,1110
-27.433220,1111
-11.730311,1112
4.153387,1113
19.973072,1114
35.484928,1115
50.449883,1116
64.637291,1117
77.828499,1118
89.820190,1119
100.427551,1120
109.487106,1121
116.859222,1122
122.430267,1123
126.114395,1124
127.854820,1125
127.624718,1126
125.427635,1127
121.297432,1128
115.297768,1129
107.521103,1130
98.087303,1131
87.141754,1132
74.853165,1133
61.410912,1134
47.022186,1135
31.908741,1136
16.303513,1137
0.447011,1138
-15.416381,1139
-31.042171,1140
-46.189533,1141
-60.625011,1142
-74.126122,1143
-86.484787,1144
-97.510529,1145
-107.033409,1146
-114.906677,1147
-121.008972,1148
-125.246246,1149
-127.553200,1150
-127.894272,1151
-126.264214,1152
-122.688141,1153
-117.221169,1154
-109.947556,1155
-100.979408,1156
-90.454941,1157
-78.536362,1158
-65.407372,1159
-51.270298,1160
-36.343037,1161
-20.855650,1162
-5.046831,1163
10.839771,1164
26.559309,1165
41.869507,1166
56.534405,1167
70.327980,1168
83.037643,1169
94.467514,1170
104.441429,1171
112.805672,1172
119.431320,1173
124.216270,1174
127.086777,1175
127.998589,1176
126.937653,1177
123.920326,1178
118.993118,1179
112.231956,1180
103.741051,1181
93.651260,1182
82.118103,1183
69.319321,1184
55.452168,1185
40.730377,1186
25.380842,1187
9.640130,1188
-6.249157,1189
-22.042131,1190
-37.495388,1191
-52.370754,1192
-66.438972,1193
-79.483223,1194
-91.302452,1195
-101.714508,1196
-110.558922,1197
-117.699371,1198
-123.025818,1199
-126.456154,1200
-127.937523,1201
-127.447090,1202
-124.992416,1203
-120.611328,1204
-114.371353,1205
-106.368660,1206
-96.726585,1207
-85.593742,1208
-73.141708,1209
-59.562393,1210
-45.065094,1211
-29.873241,1212
-14.220974,1213
1.650470,1214
17.496475,1215
33.072823,1216
48.139442,1217
62.464127,1218
75.826103,1219
88.019424,1220
98.856178,1221
108.169327,1222
115.815353,1223
121.676407,1224
125.662155,1225
127.711166,1226
127.791870,1227
125.903015,1228
122.073708,1229
116.362976,1230
108.858833,1231
99.676933,1232
88.958794,1233
76.869598,1234
63.595669,1235
49.341587,1236
34.327045,1237
18.783445,1238
2.950351,1239
-12.928215,1240
-28.607529,1241
-43.845936,1242
-58.408581,1243
-72.071014,1244
-84.622681,1245
-95.870117,1246
-105.639984,1247
-113.781700,1248
-120.169792,1249
-124.705795,1250
-127.319809,1251
-127.971542,1252
-126.650940,1253
-123.378372,1254
-118.204269,1255
-111.208374,1256
-102.498505,1257
-92.208908,1258
-80.498169,1259
-67.546776,1260
-53.554333,1261
-38.736496,1262
-23.321648,1263
-7.547359,1264
8.343250,1265
24.105272,1266
39.495777,1267
54.277565,1268
68.222816,1269
81.116600,1270
92.760201,1271
102.974152,1272
111.601044,1273
118.507919,1274
123.588326,1275
126.763954,1276
127.985870,1277
127.235237,1278
124.523628,1279
119.892838,1280
113.414223,1281
105.187645,1282
95.339897,1283
84.022743,1284
71.410606,1285
57.697884,1286
43.095901,1287
27.829720,1288
12.134617,1289
-3.747507,1290
-19.571873,1291
-35.094593,1292
-50.076427,1293
-64.286469,1294
-77.505722,1295
-89.530426,1296
-100.175278,1297
-109.276199,1298
-116.692932,1299
-122.311172,1300
-126.044319,1301
-127.834846,1302
-127.655151,1303
-125.508003,1304
-121.426506,1305
-115.473549,1306
-107.740883,1307
-98.347702,1308
-87.438751,1309
-75.182182,1310
-61.766888,1311
-47.399628,1312
-32.301834,1313
-16.706196,1314
-0.853079,1315
15.013186,1316
30.648066,1317
45.810589,1318
60.267071,1319
73.794701,1320
86.184990,1321
97.246979,1322
106.810173,1323
114.727180,1324
120.875992,1325
125.161835,1326
127.518654,1327
127.910133,1328
126.330223,1329
122.803284,1330
117.383675,1331
