
0
"15,859788"
"31,475149"
"46,605423"
"61,017429"
"74,489052"
"86,812668"
"97,798347"
"107,276787"
"115,101906"
"121,153107"
"125,337128"
"127,589493"
"127,875473"
"126,190674"
"122,561058"
"117,042557"
"109,72023"
"100,706917"
"90,141541"
"78,18692"
"65,027306"
"50,865501"
"35,919777"
"20,420464"
"4,606435"
"-11,278585"
"-26,989784"
"-42,285023"
"-56,928577"
"-70,694763"
"-83,371414"
"-94,763168"
"-104,694458"
"-113,012222"
"-119,588272"
"-124,321251"
"-127,138229"
"-127,995781"
"-126,880699"
"-123,810158"
"-118,83149"
"-112,021416"
"-103,484901"
"-93,353523"
"-81,783386"
"-68,952827"
"-55,059582"
"-40,317772"
"-24,954592"
"-9,206821"
"6,682844"
"22,469515"
"37,909889"
"52,76601"
"66,808914"
"79,822174"
"91,605232"
"101,976494"
"110,776123"
"117,8685"
"123,14431"
"126,522255"
"127,950272"
"127,406349"
"124,898872"
"120,466484"
"114,177505"
"106,128838"
"96,44455"
"85,27388"
"72,788986"
"59,182293"
"44,663494"
"29,456352"
"13,795238"
"-2,078485"
"-17,920176"
"-33,485687"
"-48,535122"
"-62,836548"
"-76,169548"
"-88,328651"
"-99,12645"
"-108,396538"
"-115,99604"
"-121,807846"
"-125,742371"
"-127,738998"
"-127,76696"
"-125,825836"
"-121,945534"
"-116,18586"
"-108,635574"
"-99,411049"
"-88,654434"
"-76,531517"
"-63,229122"
"-48,952271"
"-33,920986"
"-18,366926"
"-2,529801"
"13,346312"
"29,016737"
"44,239967"
"58,781391"
"72,416901"
"84,936348"
"96,14679"
"105,875458"
"113,97242"
"120,312889"
"124,799141"
"127,362038"
"127,962082"
"126,590034"
"123,267029"
"118,044281"
"111,002281"
"102,249565"
"91,921021"
"80,175827"
"67,194992"
"53,178577"
"38,342598"
"22,915699"
"7,135631"
"-8,754408"
"-24,509527"
"-39,886917"
"-54,649586"
"-68,570015"
"-81,433678"
"-93,042313"
"-103,217018"
"-111,800987"
"-118,661919"
"-123,694092"
"-126,819939"
"-127,991287"
"-127,190086"
"-124,42868"
"-119,749641"
"-113,22506"
"-104,955505"
"-95,06842"
"-83,716179"
"-71,073738"
"-57,335934"
"-42,714497"
"-27,434759"
"-11,732209"
"4,151153"
"19,970539"
"35,482147"
"50,446918"
"64,634224"
"77,825417"
"89,817184"
"100,424736"
"109,484581"
"116,857094"
"122,428658"
"126,113396"
"127,85453"
"127,625221"
"125,429001"
"121,299728"
"115,301025"
"107,525352"
"98,092545"
"87,14798"
"74,860321"
"61,418945"
"47,031006"
"31,918247"
"16,313574"
"0,457485"
"-15,405656"
"-31,03137"
"-46,178844"
"-60,614624"
"-74,116241"
"-86,475609"
"-97,502243"
"-107,026222"
"-114,900749"
"-121,004478"
"-125,243332"
"-127,551994"
"-127,894875"
"-126,266685"
"-122,692535"
"-117,227493"
"-109,955788"
"-100,989487"
"-90,466782"
"-78,549843"
"-65,422318"
"-51,286537"
"-36,360348"
"-20,873787"
"-5,065529"
"10,820797"
"26,540358"
"41,850891"
"56,516434"
"70,310966"
"83,021896"
"94,453331"
"104,429085"
"112,795425"
"119,423401"
"124,210884"
"127,084068"
"127,998695"
"126,940651"
"123,926254"
"119,001953"
"112,243645"
"103,755486"
"93,668282"
"82,137512"
"69,340866"
"55,475567"
"40,755302"
"25,406935"
"9,667006"
"-6,221908"
"-22,014933"
"-37,46867"
"-52,344959"
"-66,414528"
"-79,460541"
"-91,281944"
"-101,696541"
"-110,543839"
"-117,687477"
"-123,017372"
"-126,451363"
"-127,936546"
"-127,45002"
"-124,999283"
"-120,622116"
"-114,385963"
"-106,386948"
"-96,748337"
"-85,618675"
"-73,169502"
"-59,592667"
"-45,097416"
"-29,907139"
"-14,255947"
"1,614951"
"17,46096"
"33,037868"
"48,105614"
"62,431969"
"75,79615"
"87,992195"
"98,832138"
"108,148926"
"115,798958"
"121,664352"
"125,654701"
"127,708511"
"127,794128"
"125,91024"
"122,085876"
"116,379967"
"108,880463"
"99,702934"
"88,988831"
"76,903267"
"63,632496"
"49,38105"
"34,368565"
"18,826405"
"2,994099"
"-12,88435"
"-28,56423"
"-43,80389"
"-58,368465"
"-72,033485"
"-84,588356"
"-95,839584"
"-105,613777"
"-113,760292"
"-120,15358"
"-124,695107"
"-127,314888"
"-127,972542"
